objectid,objectnumber
343,96-RH-96.conflict2
344,ROC10439
345,ROC10446
346,96-RH-98
347,96-RH-99
348,G200.conflict1
349,G200.conflict2
350,G200.conflict3
351,G213.conflict1
352,G213.conflict2
353,ROC10455
354,unspecified.conflict18
355,224.conflict1
356,86-ZH-200 series-266.conflict2
357,96-RH-1-34
358,33.conflict1
359,499.conflict1
360,ROC9795
361,521.conflict1
362,96-RH-1-19
363,86-ZH-108-121.conflict1
364,86-ZH-108-121.conflict2
365,86-ZH-200 series-225.conflict1
366,86-ZH-200 series-225.conflict2
367,86-ZH-200 series-229.conflict1
368,86-ZH-200 series-229.conflict2
369,86-ZH-200 series-231.conflict1
370,86-ZH-200 series-231.conflict2
371,86-ZH-200 series-245.conflict1
372,86-ZH-200 series-245.conflict2
373,86-ZH-200 series-246.conflict1
374,86-ZH-200 series-246.conflict2
375,86-ZH-200 series-249.conflict1
376,86-ZH-200 series-249.conflict2
377,86-ZH-200 series-250.conflict1
378,86-ZH-200 series-250.conflict2
379,86-ZH-200 series-254.conflict1
380,86-ZH-200 series-254.conflict2
381,86-ZH-200 series-258.conflict1
382,86-ZH-200 series-261.conflict1
383,86-ZH-200 series-261.conflict2
384,86-ZH-200 series-263.conflict1
385,86-ZH-200 series-263.conflict2
386,86-ZH-200 series-266.conflict1
387,86-ZH-200 series-268.conflict1
388,86-ZH-200 series-268.conflict2
389,86-ZH-200 series-269.conflict1
390,86-ZH-200 series-269.conflict2
391,86-ZH-200 series-270.conflict1
392,86-ZH-200 series-270.conflict2
393,86-ZH-200 series-271.conflict1
394,86-ZH-200 series-271.conflict2
395,ROC10077
396,96-RH-1-20
397,2173.conflict2
398,G119.conflict1
399,G119.conflict2
400,G148.conflict1
401,G148.conflict2
402,G16.conflict1
403,G16.conflict2
404,G33.conflict2
405,ROC11083
406,GSC-733
407,"SH 11a,b,c.conflict1"
408,21058.conflict2
409,QbT-3.conflict1
410,Qbt-3.conflict2
411,"SH 11a,b,c.conflict2"
412,Cor-58
413,GSC-1133
414,96-RH-1-21
415,GSC-2457
416,SH 17.conflict2
417,SH 18.conflict2
418,SH 20.conflict2
419,Su-14.conflict1
420,GSC-2745
421,1018.conflict1
422,10672.conflict2
423,GSC-813
424,96-RH-1-22
425,96-RH-1-23
426,96-RH-1-24
427,96-RH-1-25
428,96-RH-1-26
429,96-RH-1-27
430,96-RH-1-28
431,96-RH-1-29
432,96-RH-1-30
433,96-RH-1-31
434,96-RH-1-32
435,TB 4.conflict1
436,TB 4.conflict2
437,96-RH-1-36
438,96-RH-1-38
439,96-RH-1-39
440,96-RH-200
441,96-RH-201
442,96-RH-202
443,96-RH-203
444,GSC-2221
445,96-RH-204
446,96-RH-205
447,96-RH-206
448,96-RH-207
449,G25
450,G128
451,GSC-1100
452,ROC10046
453,ROC10239
454,ROC10275
455,ROC10302
456,ROC10359
457,ROC10477
458,ROC10483
459,ROC10527
460,ROC10537
461,ROC10547
462,SED- 267
463,SED- 268
464,Aj 1048
465,CR-87
466,NZ-1123
467,86-ZH-200 series-267.conflict2
468,86-ZH-200 series-267.conflict3
469,P5006.conflict3
470,G341.conflict1
471,G341.conflict2
472,G341.conflict3
473,ROC10103
474,GSC-772
475,GSC-508
476,sedimx-33
477,SM 1d
478,ROC4840
479,ROC37742
480,ROC1205
481,SH 16.conflict3
482,SED- 644
483,SED- 849
484,SED- 1069
485,GSC-57
486,286.conflict1
487,ROC10571
488,GSC-485
489,GSC-1508
490,GSC-1513
491,GSC-1236
492,86-ZH-200 series-230.conflict1
493,86-ZH-200 series-230.conflict2
494,GSC-2428
495,GSC-536
496,GSC-486
497,GSC-699
498,GSC-668
499,GSC-809
500,GSC-598
501,284.conflict1
502,GSC-663
503,GSC-1223
504,GSC-2693
505,ROC25831
506,ROC10655
507,GSC-337
508,ROC10692
509,ROC10781
510,ROC10785
511,ROC10796
512,ROC10799
513,ROC10821
514,ROC10825
515,ROC10857
516,ROC10864
517,ROC10895
518,ROC10909
519,ROC10917
520,ROC11403
521,ROC11407
522,ROC11411
523,ROC11584
524,ROC10004
525,ROC10024
526,ROC11110
527,ROC11136
528,GSC-2727
529,GSC-16
530,GSC-179
531,ROC11153
532,GSC-2390
533,SED- 686
534,SED- 691
535,SED- 693
536,SED- 1674
537,SED- 1678
538,ROC10122
539,ROC10198
540,ROC10199
541,M669C
542,M669E
543,GSC-1849
544,M351
545,M185A
546,M1090
547,M1167
548,BCK-507
549,BCK-535
550,BCK-563
551,BCK-576
552,BCK-765
553,BCK-129
554,Bd-27
555,Bu 1722
556,Bd-31
557,Su-377
558,Bd-70
559,QLV-10
560,M233A
561,M139E
562,M545G
563,M545H
564,M397A
565,M226A
566,M193B
567,M11D
568,M464A
569,M95C
570,M347C
571,M347D
572,M468E
573,M468I
574,M468L
575,M468X
576,M262D
577,M262E
578,M260D
579,M571O
580,M.Uncat44
581,M1070
582,GSC-1794
583,M440A
584,M440B
585,M440G
586,M440M.2
587,M440Q
588,M425K
589,M425M
590,M425N
591,M425A.1
592,M178B
593,GSC-1877
594,M1030
595,M1032
596,M168.1
597,M168
598,M132.10
599,M132.18
600,M132.19A
601,M132.19B
602,M132.20
603,M132.21
604,M132.22
605,M132.26
606,M132.39
607,M143J
608,M1065
609,M107A
610,M132.1
611,M132.2
612,M132.3
613,ROC21947
614,M49B
615,GSC-1758
616,M1043
617,M1179
618,M360A
619,M255B
620,M288D
621,ROC10204
622,M390F
623,M1054
624,M233G
625,M361A
626,M677A
627,M669F
628,M669I
629,M667C
630,M1039.oldM1094
631,M522B
633,ROC11275
634,M457A
635,M440S.1
636,M440S.3
637,M440T.1
638,M440U
639,M561
640,M562B
641,M545B
642,M545D
643,M545E
644,M545F
645,M546B
646,M414D
647,M456A.1
648,M456A.2
649,M372C
650,M715B
651,M373A
652,M360C
653,M360D
654,M360E
655,M360F
656,M360I
657,M360O
658,M360P
659,M360Q
660,M354F.5
661,M354K
662,M242C
663,M316a
664,M518A
665,ROC86680
666,M276A
667,M276D
668,M276E
669,M286B
670,GSC-1239
671,M253C
672,M253D
673,M243D
674,M243F
675,M243K
676,M243L
677,M243M
678,M227C
679,M214D
680,M209B
681,M212B
682,M203D
683,M203F
684,M203H
685,M203I
686,M193C
687,M193H
688,M176D
689,M176I
690,M78B
691,M78H
692,M144B
693,M144D
694,M144J
695,M146D
696,M148B
697,M132.15A
698,M132.15B
699,M132.16
700,M132.27
701,M132.28
702,M132.31
703,M132.38
704,M466D
705,M116A
706,M35C
707,M35H
708,M71B
709,M59A
710,M29B
711,M21J
712,M22B.1
713,M22I
714,M22N
715,M11B
716,M3L
717,M20B
718,M309B
719,M309D
720,M1003
721,M199B
722,M529C
723,ROC7126
724,M380D
725,M139B
726,M317E
727,M317F
728,M317K
729,M317L
730,M317O
731,M317T
732,M377A
733,M1031
734,M1071
735,M691A
736,M453
737,M1060A
738,M1060C
739,M408A
740,M180C
741,M180D
742,M180E
743,M1061
744,M489D
745,M439A
746,M438C
747,M438R
748,M438U
749,M102B
750,M288E
751,M288F
752,M390.2
753,M390.3
754,M390A
755,M390C
756,M390P
757,M390S
758,M390U
759,M390X
760,M390ZZ
761,M260A
762,M551B
763,M37A
764,M1063
765,M663B
766,M1062
767,M159B
768,M452C
769,M713A
770,M713C
771,M179D
772,M668A
773,M668B
774,M1023
775,M1062A
776,M1062B
777,M361J
778,M361V
779,M361D
780,M1049A
781,M633B
782,M677B
783,M583A
784,M583B
785,M1066B
786,M601D
787,M601E
788,M565A
789,M565B
790,M599D
791,M1046
792,Gtl-378
793,Gtl-382
794,Gtl-390
795,Gtl-391
796,Gtl-4
797,Gtl-424B
798,Gtl-430
799,Tin-1238
800,Gtl-50
801,Gtl-6
802,Gtl-92
803,Rep-120
804,Rep-170
805,Rep-80
806,Rep-29
807,Rep-146
808,NM 270-272
809,RTO-47
810,RTO-78
811,RTO-88
812,Ros-23
813,M571B
814,M571C
815,M571D
816,M571E
817,M571F
818,M571G
819,M571N
820,M624A
821,M624D
822,M1064
823,M524A
824,M531A
825,M465
826,M1069A
827,M1069B
828,M278A
829,M278B
830,M436D
831,M463C
832,M515
833,M563A
834,M451A
835,M451B
836,GSC-1128
837,M507D
838,QvbR 2
839,QB0
840,M361M
841,ROC10480
842,ROC10540
843,ROC11120
844,ROC11276
845,ROC11370
846,ROC11437
847,GSC-2689
848,M572
849,ROC337
850,M525A
851,M571H
852,M628
853,SH 2d
854,#1
855,SH 28.conflict1
856,unspecified.conflict130
857,MVO-42
858,OPL-19
859,JON 15
860,LIN 1d.conflict1
861,OPL-35
862,Bd-40
863,Bd-1
864,BRT-11
865,BRT-12
866,CW-1287
867,ROC10225
868,ROC11398
869,ROC10995
870,ROC11006
871,ROC10205
872,ROC10215
873,ROC10306
874,ROC10314
875,ROC10365
876,ROC10448
877,ROC10492
878,ROC10538
879,ROC10589
880,ROC10654
881,ROC10709
882,ROC10803
883,ROC10813
884,ROC10833
885,ROC10862
886,ROC10876
887,ROC10951
888,ROC11139
889,ROC11221
890,ROC11250
891,ROC11292
892,ROC11345
893,ROC11362
894,ROC11373
895,ROC11375
896,BM-1011
897,BM-1017
898,ROC11322
899,ROC11328
900,ROC11391
901,ROC11420
902,GSC-2579
903,ROC10550
904,ROC10661
905,ROC10298
906,ROC10358
907,ROC10381
908,ROC10383
909,ROC10425
910,ROC10441
911,ROC10526
912,ROC10457
913,ROC10481
914,ROC10493
915,ROC10552
916,ROC10596
917,ROC10601
918,ROC10611
919,ROC10616
920,ROC10649
921,ROC10686
922,ROC10701
923,ROC10775
924,ROC10786
925,ROC10797
926,ROC10868
927,ROC10870
928,ROC10978
929,ROC11134
930,ROC11135
931,ROC11188
932,GSC-124
933,GSC-327
934,Wards- 38
935,SED- 63
936,SED- 83
937,SED- 116
938,SED- 136
939,SED- 154
940,ROC11190
941,GSC-1963
942,GSC-1227
943,GSC-682
944,GSC-1296
945,GSC-745
946,GSC-68
947,GSC-46
948,GSC-1504
949,GSC-1363
950,GSC-507
951,GSC-919
952,GSC-681
953,GSC-2212
954,GSC-1451
955,GSC-1007
956,GSC-1772
957,GSC-217
958,GSC-1148
959,GSC-91
960,GSC-2776
961,GSC-265
962,GSC-914
963,GSC-1256
964,ROC11249
965,ROC11252
966,ROC2997
967,unspecified.conflict128
968,ROC11298
969,GSC-1757
970,GSC-1765
971,GSC-1328
972,GSC-1335
973,GSC-13
974,GSC-1856
975,GSC-1627
976,GSC-482
977,GSC-602
978,GSC-1959
979,GSC-87
980,GSC-1633
981,GSC-2226
982,GSC-1061
983,GSC-1493
984,GSC-1353
985,GSC-2164
986,GSC-1982
987,GSC-413
988,GSC-2364
989,GSC-1013
990,GSC-540
991,GSC-818
992,ROC11299
993,ROC11303
994,GSC-1958
995,GSC-2482
996,GSC-2162
997,ROC11338
998,GSC-1138
999,GSC-731
1000,GSC-2511
1001,GSC-2478
1002,GSC-2257
1003,GSC-1461
1004,GSC-973
1005,GSC-1321
1006,GSC-1766
1007,GSC-1173
1008,GSC-2128
1009,GSC-498
1010,GSC-2202
1011,GSC-2634
1012,GSC-1427
1013,GSC-2277
1014,GSC-2159
1015,GSC-2728
1016,GSC-2585
1017,GSC-2591
1018,GSC-1183
1019,GSC-2554
1020,GSC-1690
1021,GSC-2580
1022,GSC-2433
1023,GSC-2193
1024,GSC-1798
1025,GSC-2201
1026,ROC1781
1027,ROC10003
1028,ROC10062
1029,ROC10353
1030,ROC10410
1031,ROC10476
1032,ROC10525
1033,ROC10669
1034,ROC10753
1035,ROC10819
1036,ROC10827
1037,ROC10952
1038,ROC10996
1039,ROC11017
1040,ROC11028
1041,ROC11032
1042,ROC11033
1043,ROC11041
1044,ROC11067
1045,ROC11119
1046,ROC11273
1047,ROC11335
1048,ROC11439
1049,ROC11466
1050,ROC12033
1051,ROC12733
1052,ROC15027
1053,ROC80825
1054,ROC81197
1055,10083B
1056,ROC11376
1057,ROC10981
1058,ROC10235
1059,ROC10266
1060,ROC10348
1061,ROC10422
1062,ROC10473
1063,ROC10482
1064,ROC10539
1065,ROC10542
1066,ROC10656
1067,ROC10682
1068,ROC10693
1069,ROC10762
1070,ROC10869
1071,ROC10987
1072,ROC10989
1073,ROC11183
1074,ROC11197
1075,ROC11222
1076,ROC11270
1077,ROC11330
1078,ROC11334
1079,ROC11361
1080,ROC10451
1081,ROC10607
1082,ROC10256
1083,ROC10309
1084,ROC10332
1085,ROC10517
1086,ROC10528
1087,ROC10544
1088,ROC10619
1089,ROC10694
1090,ROC10706
1091,ROC10763
1092,ROC10780
1093,ROC10800
1094,ROC10899
1095,ROC11115
1096,ROC11171
1097,ROC10264
1098,ROC10290
1099,GSC-1485
1100,ROC5126
1101,SP 26
1102,unspecified.conflict121
1103,PC 3.conflict1
