objectid,objectnumber
16603,GSC-1275
16604,GSC-1825
16605,GSC-2184
16606,GSC-1673
16607,GSC-1636
16608,GSC-1366
16609,GSC-1966
16610,GSC-1489
16611,GSC-2420
16612,GSC-2261
16613,GSC-665
16614,GSC-2053
16615,GSC-493
16616,GSC-2094
16617,GSC-1334
16618,GSC-1515
16619,GSC-1555
16620,GSC-1563
16621,GSC-1665
16622,GSC-1647
16623,GSC-1628
16624,GSC-2773
16625,GSC-1643
16626,GSC-2365
16627,GSC-1124
16628,GSC-2098
16629,GSC-961
16630,GSC-1345
16631,GSC-1009
16632,GSC-1125
16633,GSC-1201
16634,GSC-1434
16635,ZAC-1
16636,GSC-2084
16637,GSC-1118
16638,GSC-2207
16639,GSC-1684
16640,GSC-571
16641,GSC-842
16642,GSC-1704
16643,GSC-473
16644,GSC-736
16645,GSC-1662
16646,GSC-570
16647,GSC-2289
16648,GSC-1317
16649,GSC-986
16650,GSC-1575
16651,GSC-1685
16652,GSC-1596
16653,GSC-1607
16654,GSC-2528
16655,GSC-465
16656,GSC-746
16657,GSC-1815
16658,GSC-828
16659,GSC-830
16660,GSC-2026
16661,CBZ - 62
16662,GSC-2419
16663,GSC-822
16664,GSC-1422
16665,GSC-1398
16666,GSC-796
16667,GSC-1824
16668,GSC-1712
16669,GSC-1894
16670,GSC-2470
16671,Ma 1256
16672,GSC-2192
16673,GSC-2499
16674,GSC-450
16675,GSC-1783
16676,GSC-1079
16677,GSC-423
16678,GSC-1170
16679,GSC-548
16680,GSC-451
16681,GSC-2256
16682,GSC-2755
16683,GSC-581
16684,GSC-1917
16685,GSC-1924
16686,GSC-725
16687,GSC-2540
16688,GSC-2544
16689,GSC-2589
16690,GSC-1536
16691,GSC-1538
16692,GSC-950
16693,GSC-1533
16694,GSC-1832
16695,GSC-2739
16696,GSC-1410
16697,GSC-2475
16698,GSC-2305
16699,GSC-1267
16700,GSC-1945
16701,GSC-1651
16702,GSC-1833
16703,GSC-1130
16704,GSC-2160
16705,GSC-2777
16706,GSC-1656
16707,GSC-2268
16708,GSC-1759
16709,GSC-2181
16710,GSC-1859
16711,GSC-2155
16712,GSC-1678
16713,GSC-1404
16714,GSC-771
16715,Tri 485
16716,IM 95
16717,ROC10197
16718,ROC10259
16719,ROC10331
16720,ROC10345
16721,ROC10424
16722,ROC10524
16723,ROC10877
16724,ROC10891
16725,ROC10919
16726,ROC10920
16727,ROC10980
16728,ROC11004
16729,ROC11014
16730,ROC11062
16731,ROC11302
16732,ROC11315
16733,ROC11432
16734,ROC11462
16735,ROC11502
16736,ROC11537
16737,ROC15041
16738,ROC15053
16739,ROC80837
16740,10077B
16741,Aj 1038
16742,Aj 1034
16743,Aj 1013
16744,Sm-29
16745,RnA 78
16746,unspecified.conflict59
16747,unspecified.conflict78
16748,unspecified.conflict132
16749,IM 6
16750,CBZ - 2.conflict2
16751,BNB-4
16752,CAS-723
16753,CP-2117
16754,CP-2139
16755,Ran 433
16756,Rep-165
16757,O-186
16758,O-40
16759,O-176
16760,BRA-33
16761,BRA-53
16762,BRA-54
16763,BRA-89
16764,Ely-1171
16765,J 17
16766,Ma 1015
16767,S.R.1186
16768,BIS 1288
16769,VD-113
16770,THT-18
16771,KP 129
16772,Aj 1070
16773,SED- 475
16774,ALD-48
16775,Ryn.-1035
16776,BRA-1010
16777,Su-119
16778,PDGO-18
16779,Bin-1247
16780,Bu 1237
16781,ALD-36
16782,Aj 1052A
16783,PCN-22
16784,Su-238a
16785,BAL-117
16786,CO-125
16787,Tas-3
16788,ALM-5
16789,Bgd 4B
16790,Bgd 9
16791,BAL-101
16792,BAL-111
16793,BAL-60
16794,BAL-74
16795,BAL-76
16796,BNB-2
16797,RH 31
16798,BVO-63
16799,BVO-65
16800,BVO-68
16801,BVO-80
16802,BVO-7
16803,Bin-1290
16804,Bin-1304
16805,Bin-1033
16806,Bin-1076
16807,Bin-1115
16808,Bin-1120
16809,Bin-1135
16810,10728.conflict1
16811,Bin-1170
16812,Bin-1216
16813,Bin-1241
16814,Bin-1252
16815,Bin-1315
16816,Bin-1357
16817,BH-32
16818,BH-7
16819,BR-1003
16820,BCK-1049
16821,BCK-203
16822,BCK-1034
16823,BCK-481
16824,BCK-501
16825,Bu 1669
16826,BCK-692
16827,BCK-1260
16828,BCK-95
16829,BCK-75
16830,Bd-37
16831,Bd-8
16832,Bd-9
16833,CAS-5022
16834,Bd-48
16835,BRT-10
16836,BRT-18
16837,BRT-20
16838,BRT-8
16839,BM-1007
16840,BM-1065
16841,Bu 1719
16842,Bu 1764
16843,Bu 1838
16844,Bu 1919
16845,Tas-1
16846,Bu 1440
16847,Bu 1459
16848,Bu 1461
16849,Bu 2271
16850,Bu 2351
16851,Bu 4228
16852,Bu 1671
16853,Bu 1672
16854,Bu 1673
16855,Bu 1862
16856,Bu 1899
16857,Bu 2452
16858,Ma 1270
16859,CAS-5079
16860,Bu 1796
16861,Bu 2019
16862,Bu 2118
16863,Bu 2123
16864,Bu 2391A
16865,Bu 1969
16866,Bu 1481
16867,Bu 1486
16868,Bu 1489
16869,Bu 2302
16870,Bu 2442
16871,Bu 1083
16872,Bu 1812
16873,Bu 1011
16874,Bu 1931
16875,Bu 4407
16876,Bu 4410A
16877,Bu 4424
16878,Bu 1693
16879,Bu 2079
16880,Bu 2263
16881,Bu 2326
16882,Bu 2327
16883,Bu 2415
16884,JON 1
16885,Bu 4028
16886,Bu 4425E
16887,Bu 1065
16888,Bu 1155
16889,Bu 1164
16890,Bu 1192
16891,Bu 1204
16892,Bu 1228
16893,Bu 1251
16894,Bu 1262
16895,Bu 1267
16896,Bu 1273
16897,Bu 1281
16898,Bu 1293
16899,Bu 1510
16900,Bu 1515
16901,Bu 1528
16902,Bu 1531
16903,Bu 1533
16904,Bu 1539
16905,Bu 1545
16906,GO 9569
16907,Ma 1293
16908,Bu 2252
16909,Bu 2382
16910,Bu 2076
16911,Bu 1614
16912,Bu 1622
16913,Bu 1927
16914,Bu 1958
16915,Bu 1974
16916,Bu 1981
16917,Bu 1987
16918,Bu 2002
16919,Bu 2156
16920,Bu 2173
16921,Bu 2176
16922,Bu 1388
16923,Bu 2190
16924,Bu 1678
16925,Bu 1910
16926,Bu 1303
16927,GSC-1910
16928,Bu 1745
16929,Bu 1399
16930,Bu 1307
16931,Bu 1310
16932,Bu 1341
16933,Bu 1413
16934,Bu 1427
16935,Bu 1429
16936,Bu 1903
16937,Bu 1913
16938,Bu 1682
16939,Bu 1575
16940,Bu 1580
16941,Bu 1872
16942,Bu 1877
16943,Bu 1884
16944,GSC-683
16945,GSC-2617
16946,Bu 2398
16947,Bu 2062
16948,Bu 1171
16949,Bu 1213
16950,Bu 1335
16951,Bu 1697
16952,Bu 1698
16953,Bu 1821
16954,Bu 1929
16955,Bu 4436A
16956,CBI-80
16957,CBI-18
16958,CBI-59
16959,CCL-1
16960,CCL-7
16961,NCA-34
16962,CAS-5169
16963,CAS-5204
16964,CAS-5209
16965,CAS-5221
16966,CAS-5036
16967,CAS-5043
16968,CP-2405
16969,CAS-4013
16970,CAS-720
16971,CP-6100
16972,CPQ-10
16973,CPQ-2
16974,CP-2052
16975,CP-2098
16976,CP-2103
16977,CP-2122
16978,Pwb 12
16979,CP-2186
16980,GSC-2354
16981,GSC-857
16982,GSC-2124
16983,GSC-1770
16984,CP-2190
16985,PZA-8
16986,CO-47
16987,CP-2196F
16988,CP-2196M
16989,CP-2196V
16990,CP-2197L
16991,CP-2199KK
16992,CP-2220
16993,CP-2241
16994,CP-230
16995,CP-2328
16996,CP-2337
16997,CP-350
16998,CP-359
16999,GSC-671
17000,CP-380
17001,CP-381
17002,CP-6044
17003,CP-6078
17004,VD-21
17005,CP-6137
17006,CP-6151
17007,CP-6164
17008,CP-6170
17009,CP-6279
17010,CP-6298
17011,C.d.A. 1130
17012,C.d.A. 1162
17013,C.d.A. 1177
17014,C.d.A. 1061
17015,C.d.A. 1196
17016,C.d.A. 1272
17017,C.d.A. 1200
17018,C.d.A. 1279
17019,C.d.A. 1073
17020,C.d.A. 1230
17021,C.d.A. 1291
17022,C.d.A. 1108
17023,C.d.A. 1115
17024,CP-6322
17025,SUT-30
17026,C.d.A. 1296a
17027,C.d.A. 1296c
17028,UCP 8
17029,UCP 85
17030,UCP 329
17031,CHA-6
17032,CHA-7
17033,CHIH-1070
17034,CO-11
17035,CO-17
17036,CO-19
17037,CO-22
17038,CO-57
17039,CO-105
17040,IM 74
17041,CO-135
17042,CO-137
17043,CBZ - 101
17044,CBZ - 11
17045,CBZ - 124
17046,MCC-7
17047,CBZ - 183
17048,CBZ - 185
17049,CBZ - 187
17050,CBZ - 234
17051,CBZ - 49
17052,CBZ - 55
17053,Cd.A. 1028A
17054,Cd.A. 1032B
17055,Cd.A. 1033A
17056,Cd.A. 1014
17057,Cd.A. 1001
17058,Cd.A. 1020
17059,CW-1229
17060,Cd.A. 930
17061,Cd.A. 926
17062,Cd.A. 952
17063,CVI-22
17064,UCP 313
17065,CL-9
17066,C-35
17067,C-49
17068,COD-4
17069,COD-9
17070,CW-1298
17071,CW-1227
17072,CW-1274
17073,CW-1278
17074,CW-1281
17075,CW-1299
17076,Sic-66
17077,DOS 1035
17078,D.C.-1005
17079,Du-1046
17080,Du-1049
17081,Du-1053
17082,Du-1154
17083,Du-1140
17084,Du-1130
17085,Du-1039
17086,Du-1070
17087,Du-1012
17088,Ed-1017
17089,O-12
17090,O-138
17091,O-192
17092,O-193
17093,O-200
17094,O-66
17095,O-75
17096,O-76
17097,O-78
17098,O-22
17099,O-155
17100,O-165
17101,BRA-65
17102,BRA-11
17103,BRA-37
17104,Ely-1008
17105,Ely-1069
17106,GLS 10043
17107,Ely-1259
17108,Ely-1352
17109,Ely-1336
17110,Ely-1367
17111,Ely-1046
17112,Ely-1082
17113,Ely-1083
17114,Ely-1162
17115,Ely-1164
17116,Ely-1172
17117,Ely-1214
17118,Ely-1012
17119,Ely-1016
17120,KP 94
17121,Ely-1100
17122,Ely-1115
17123,Ely-1274
17124,Ely-1091
17125,Ely-1197
17126,Ely-1198
17127,Ely-1254
17128,Ely-1402
17129,Ely-1406
17130,Ely-1419
17131,Enc-1022
17132,En 1002
17133,En 1008
17134,En 1032
17135,En 1047
17136,En 1051
17137,En 1062
17138,En 2030
17139,En 2033
17140,En 2022
17141,En 2024
17142,En 1074
17143,En 2020
17144,FGS 1004
17145,FFL-23
17146,FFL-34
17147,FFL-44
17148,GLS 1013
17149,GO 9551
17150,GLS 1025
17151,GLS 1026
17152,GLS 1040
17153,KP 118
17154,Aj 1052
17155,GLS 1058
17156,GLS 1062
17157,GLS 1064
17158,GLS 1065
17159,GLS 1001
17160,GLS 10016
17161,GLS 10020
17162,GLS 1076
17163,SDD-139
17164,Gl 1081
17165,Gl 1089
17166,Gl 1108
17167,Gl 1128
17168,Gl 1134
17169,Gl 1138
17170,Gl 1155
17171,Gl 1177
17172,Gl 1184
17173,Gl 1194
17174,Gl 1205
17175,Gl 1240
17176,VEL-10
17177,Gl 1254
17178,Gl 1255
17179,Gl 1258
17180,Gl 1267
17181,Gl 1279
17182,Gl 1286
17183,Gl 1331
17184,Gl 1431
17185,Gl 1120
17186,Gl 1353
17187,Gl 1369
17188,Gl 1390
17189,Gbl-2
17190,Gbl-34
17191,Gbl-9
17192,HAN 4
17193,Hd-11
17194,Hd-20
17195,MIL-16
17196,MIL-5
17197,J 1004
17198,G.F.-65
17199,G.F.-26
17200,Kn 1074
17201,Kn 1162
17202,Kn 988e
17203,Kn 1101
17204,Kn 1107
17205,Kn 1126
17206,Kn 1135
17207,Kn 1009
17208,KL-35
17209,J 224
17210,J 251
17211,J 252
17212,J 274
17213,J 279
17214,J 315
17215,J 316
17216,J 317
17217,J 324
17218,J 333
17219,J 45
17220,J 62
17221,J 71
17222,J 92
17223,Ma 1003
17224,Ma 1049
17225,Ma 1051
17226,Ma 1056b
17227,Ma 1060b
17228,Ma 1077
17229,Ma 1328
17230,Ma 1337
17231,Su-351
17232,PP-8
17233,Ma 1340
17234,Ma 1091
17235,Ma 1338
17236,Ma 1346E
17237,Ma 1347A
17238,MES 63
17239,MES 64
17240,MES 50
17241,MES 72
17242,WHP 2023
17243,MNY-7
17244,LIN-21
17245,MVO-331
17246,MVO-121
17247,MVO-125
17248,MVO-129
17249,MVO-166
17250,MVO-169
17251,MVO-187
17252,MVO-281
17253,MVO-292
17254,MVO-56
17255,MVO-62
17256,MVO-63
17257,MVO-157
17258,ML 33
17259,ML 123
17260,ML 112
17261,Rep-97
17262,Ryn.-1130
17263,Beaucage-1
17264,OKA-16
17265,OKA-25
17266,KP 1051
17267,Por-136
17268,KP 1055
17269,KP 1055g
17270,Org 1293
17271,Org l290A
17272,PCO-1
17273,PCO-6
17274,MON-11
17275,MVO-237
17276,MVO-343
17277,MVO-344
17278,MVO-57
17279,MB-37
17280,NZL-18
17281,MON-17
17282,Dom-31
17283,MON-21C
17284,MON-32
17285,MON-38
17286,Pk.-1023
17287,Pk.-1024
17288,Pk.-1030
17289,Pk.-1001
17290,Por-144
17291,Ryn.-1091
17292,Por-62
17293,KP 127
17294,Por-75
17295,Por-99
17296,Por-77D
17297,Por-1518
17298,MON-34
17299,Por-1529
17300,Por-1538
17301,Por-1560
17302,Por-1562
17303,Por-1573
17304,Por-1584
17305,Por-1600
17306,Por-1610
17307,Por-1616
17308,Por-1635
17309,Por-1636
17310,Por-1646
17311,Por-1681
17312,Por-1691
17313,Por-1742
17314,Por-1748
17315,Por-20
17316,Por-4
17317,Por-5
17318,Por-77A
17319,Rep-92
17320,Rep-138
17321,Rep-33
17322,Rep-34
17323,Rep-66
17324,RTO-154
17325,RTO-101
17326,CN-1211
17327,Rg.1
17328,Gtl-103
17329,Gtl-127
17330,Gtl-151
17331,Gtl-166
17332,Gtl-175
17333,Gtl-189
17334,Gtl-253
17335,Gtl-255
17336,RTO-104
17337,RTO-18
17338,RTO-49
17339,Ros-31
17340,CUR-10
17341,Ros-33
17342,CAL 5
17343,AKA-9
17344,MIH-10
17345,MIH-13
17346,MIH-3
17347,Gtl-269
17348,Gtl-280
17349,Gtl-293
17350,Gtl-342
17351,Gtl-353
17352,Gtl-365
17353,SAS-2
17354,CUR-3
17355,NT-14
17356,YAG-21
17357,YAG-3
17358,CHIH-1009
17359,SL-4
17360,S.R.1109
17361,S.R.1161
17362,S.R.1007
17363,S.R.1008
17364,S.R.1030
17365,S.R.1036
17366,T31
17367,S.R.1054
17368,Ran 419
17369,IT-5
17370,KAMA-2
17371,NT-1
17372,NT-8
17373,S.R.1068
17374,S.R.1089
17375,S.R.1105
17376,S.R.1107
17377,S.R.1116
17378,S.R.1121
17379,S.R.1142
17380,S.R.1151
17381,S.R.1178
17382,S.R.1198
17383,S.R.1204
17384,S.R.1212
17385,S.R.1226
17386,S.R.1252
17387,S.R.1317
17388,CUR-6
17389,S.R.1286
17390,S.R.1004
17391,S.R.1236
17392,S.R.1237
17393,S.R.1159
17394,S.R.1293
17395,S.R.1316
17396,SAY-6
17397,Sic-78
17398,S.D. 1022
17399,S.D. 1025
17400,S.Is-7
17401,Sm-23
17402,FF1008
17403,FF1012
17404,FF1044
17405,FF1076
17406,FF1026
17407,FF1032
17408,FF1062
17409,Ma 1202
17410,Ma 1234
17411,Ma 1251
17412,Ma 1263
17413,Ma 1264
17414,Ma 1271
17415,Ma 1295
17416,Td-15
17417,Tint-1009
17418,Tint-1041
17419,Tint-1056
17420,Tint-1059
17421,Tint-1088
17422,Tint-1067
17423,T213
17424,T45
17425,T225
17426,T11
17427,T49
17428,T103
17429,T107A
17430,T98
17431,T18
17432,T35
17433,CUA-1
17434,CUA-107
17435,CUA-123
17436,CUA-27
17437,CUA-33
17438,CUA-65
17439,CUA-70
17440,CUA-90
17441,ARA-58
17442,VM 19
17443,VM 2
17444,VM 113
17445,VM 125
17446,VM 137
17447,VM 27
17448,VM 56
17449,VM 80
17450,VM 98
17451,BIS 1406
17452,BIS 1519
17453,BIS 1400
17454,BIS 1379
17455,BIS 1039
17456,BIS 1072
17457,BIS 1218
17458,BIS 1222
17459,BIS 1363
17460,BIS 1275
17461,BIS 1450
17462,BIS 1415
17463,BIS 1092
17464,BIS 1128
17465,BIS 1172
17466,BIS 1178
17467,BIS 1384
17468,BIS 1011
17469,BIS 1031
17470,CN-1150
17471,BIS 1155
17472,BIS 1224
17473,BIS 1337
17474,BIS 1423
17475,BIS 1441
17476,BIS 1504
17477,BIS 1507
17478,SDD-17
17479,BIS 1508
17480,BIS 1572
17481,BIS 1096
17482,BIS 1104
17483,BIS 1168
17484,BIS 1216
17485,BIS 1473b
17486,BIS 1476
17487,WRI 7
17488,WRI 9
17489,Yel-21
17490,Yel-40
17491,Yel-55
17492,Yel-74
17493,MUR-11
17494,Tri 273
17495,Tri 277
17496,Tri 418
17497,BVO-156
17498,NAL 17
17499,NAL 45
17500,NAL 63
17501,NAL 67
17502,NAL 9
17503,ANI-2
17504,Bng-10
17505,Bng-3
17506,Bng-5
17507,Ou 1024
17508,Ou 1031
17509,Sic-94
17510,Ou 1046
17511,Tri 501
17512,SLZ-18
17513,SLZ-28
17514,SLZ-9
17515,CR-63
17516,Su-178
17517,Su-186
17518,ZAC-13
17519,MTI-8
17520,Tri 39A
17521,CN-1097
17522,Ran 293
17523,NZ-1004
17524,AK-407
17525,BH-199
17526,Tas-41
17527,Tas-43
17528,KP 93
17529,Mot. 1
17530,CGC-38
17531,Ou 1151
17532,CN-1074
17533,CN-1109
17534,CN-1060
17535,CGC-35
17536,CGC-36
17537,SEU-17
17538,C 8
17539,ZAC-9
17540,KP 114
17541,TPZ-13
17542,MX-31
17543,Ran 376
17544,Flr.1003
17545,Tri 323
17546,Su-107
17547,Su-114
17548,Su-115
17549,Su-56
17550,Su-81
17551,Su-89
17552,NCA-45
17553,Su-H-471
17554,CC 105
17555,Ran 255
17556,Ran 258
17557,CHIH-1065
17558,CN-1196
17559,Tri 349
17560,Tri 351
17561,MX-34
17562,Ri 1015
17563,CN-1012
17564,NZ-1118
17565,Eus-11
17566,Eus-16
17567,Eus-20
17568,Eus-25
17569,Eus-3
17570,NCA-3
17571,Ran 16
17572,CHH-19
17573,CHH-22
17574,CHH-43
17575,Su-127
17576,Su-358
17577,Su-349
17578,ORU-293
17579,Sub-13
17580,Ran 304
17581,ZAC-24
17582,BVO-198
17583,BVO-109
17584,Ryn.-1008
17585,KLG-71
17586,KIP-5
17587,KOS-8
17588,ARG-16
17589,LIN-13
17590,LIN-2
17591,LAJ-20
17592,LAJ-4
17593,Su-328
17594,Lik.-10
17595,Lik.-12
17596,LLA-101
17597,LLA-918
17598,LRH-3
17599,LRH-4a
17600,ZAC-23
17601,Ou 1227
17602,ORU-147
17603,KOS-16
17604,KOS-18
17605,Kam.-10
17606,Kam.-14
17607,CN-1261
17608,Si 1028
17609,Tri 124
17610,Ran 337
17611,As 1027
17612,MOR-163
17613,Tas-113
17614,MB-11
17615,MOR-13
17616,MOR-151
17617,MOR-177
17618,MOR-179
17619,MOR-184
17620,JN-8
17621,ORU-10
17622,Ms.-25-30 not used
17623,CNQ-3
17624,AK-380
17625,MOR-197
17626,MOR-229
17627,MOR-90
17628,Ran 456
17629,RnA 117
17630,Su-247
17631,Su-251
17632,Su-507
17633,SDD-115
17634,MAT-8
17635,NKN 3
17636,Tri 342
17637,Ran 361
17638,Ran 364
17639,Ran 227
17640,Ran 235
17641,Ran 245
17642,Ms.-5
17643,MB-18
17644,MB-7
17645,Su-313
17646,CN-1249
17647,BH-180
17648,BH-183
17649,BH-195
17650,Tri 193
17651,CN-1127
17652,CN-1173
17653,CN-1232
17654,IM 105
17655,KP 194
17656,Tri 216
17657,NZ-1018
17658,NRY 6
17659,NZ-1034
17660,SUT-16
17661,NZ-1053
17662,BVO-211
17663,PR-7
17664,Ran 310
17665,T207
17666,C.S.K.-10
17667,MVO-4
17668,PUL-7
17669,NEG-1
17670,NEG-3
17671,C.S.K.-3
17672,Ran 5
17673,VD-26
17674,VEL-21
17675,SUT-31
17676,VD-164
17677,ORU-425
17678,ORU-427
17679,SDD-107
17680,SDD-175
17681,SDD-203
17682,SDD-205
17683,SDD-32
17684,SDD-49
17685,GTO-15
17686,VD-167
17687,VD-152
17688,DGO-53
17689,Tri 54
17690,PDGO-26
17691,Tri 57
17692,Tri 58
17693,Tri 67
17694,Si 1041
17695,Si 1045
17696,Tri 267
17697,CN-1001
17698,GTO-10
17699,AL A 31
17700,AL A 51
17701,AL A 65
17702,AL SS 108
17703,AL SS 109
17704,AL SS 139a
17705,AL SS 65
17706,MW-10
17707,AL SS 75
17708,AL SS 98
17709,Al.10
17710,Al.11
17711,Al.124
17712,Al.191
17713,SDD-136
17714,ORU-188
17715,ORU-2
17716,ORU-235
17717,ORU-236
17718,ORU-271
17719,Al.192
17720,Al.204
17721,Al.248
17722,Al.224
17723,Al.255
17724,Al.256
17725,Al.272
17726,Al.275
17727,ORU-284
17728,Al.276
17729,Al.290
17730,Al.296
17731,Al.297
17732,Al.299B
17733,Al.31
17734,Al.34
17735,Al.50a
17736,Al.65
17737,Al.77
17738,Te 1028
17739,GTO-16
17740,Tri 171
17741,Tri 176
17742,Tri 179
17743,UC-5501
17744,Tri 184
17745,Su-27
17746,SUT-11
17747,KBC-22
17748,KBC-38
17749,TCZ-13
17750,TCZ-4
17751,Ran 114
17752,Ran 123
17753,Ran 126
17754,PRQ-9
17755,AK-337
17756,AK-335
17757,ME 1
17758,ME 4
17759,Te 1011
17760,IM 60
17761,Te 1015
17762,Te 1016
17763,TOQ-11
17764,TOQ-123
17765,TOQ-20
17766,TOQ-25
17767,TOQ-27
17768,TOQ-65
17769,TOQ-81
17770,TOQ-89
17771,MW-13
17772,UC-8
17773,Su-405
17774,No. 105-124 not used
17775,ORU-335
17776,CN-1024
17777,CN-1025
17778,SMJ-4
17779,WRH 3
17780,Tas-84
17781,Tri 375
17782,Tri 168
17783,Ou 1078
17784,PER-37
17785,Ou 1103
17786,Ou 1105
17787,Ou 1143
17788,YCP-18
17789,PAK-15
17790,BH-115
17791,BH-122
17792,BH-154
17793,BH-162
17794,BH-163
17795,BH-263
17796,BH-287
17797,SUT-32
17798,CQ-701
17799,CQ-819
17800,AK-344
17801,AK-385
17802,AK-398
17803,PZA-21
17804,LLA-30
17805,LLA-433
17806,LLA-453
17807,LLA-472
17808,LLA-483
17809,LLA-495
17810,LLA-50
17811,LLA-81
17812,LLA-925
17813,LLA-929
17814,ORU-437
17815,CHH-47
17816,CN-1176
17817,CN-1217
17818,COP-13
17819,COP-5
17820,BOR 25
17821,IM 64
17822,C 22
17823,C 34
17824,PAK-19
17825,C 68
17826,CC 127
17827,CC 138
17828,CC4
17829,IM 22
17830,IM 23
17831,BOR 26
17832,KP 15
17833,KP 197
17834,KP 53
17835,KP 6
17836,KP 62
17837,KP 64
17838,KP 87
17839,KP 90
17840,KP 95
17841,L 1049
17842,L 1056
17843,L 1062
17844,MCI 2
17845,ME 11
17846,MO 2
17847,MO 3
17848,CBZ - 3.conflict1
17849,NZL-34
17850,GSC-2299
17851,CHQ-24.conflict2
17852,Ou 1301
17853,Ou 1336
17854,Ou 1339
17855,Ou 1401
17856,Si 1003
17857,unspecified.conflict91
17858,TOR 1
17859,IM 55
17860,Aj 1063
17861,Aj 1064
17862,Ryn.-1051
17863,unspecified.conflict51
17864,TT.conflict2
17865,CAL 11
17866,Por-1565
17867,ALD-27
17868,CHQ-27.conflict1
17869,Bin-1081
17870,Bu 1232
17871,Bu 1282
17872,Bu 2161
17873,Bu 1499
17874,Bu 1751
17875,ALA 81
17876,CP-6189
17877,RTO-3
17878,ORU-157
17879,ORU-402
17880,ORU-405
17881,ORU-412
17882,Aj 1059A
17883,Aj 1061A
17884,C-14
17885,En 1023
17886,GLS 1051
17887,Alo. 108
17888,HAN 7
17889,Ran 195
17890,BAL-3
17891,BIS 1138
17892,Gl 1053
17893,ROC15056
17894,Dom-190
17895,MGC 4
17896,Su-H-429
17897,NZ-1016
17898,MTI-18
17899,CN-1210
17900,GTO-9
17901,BAL-4
17902,Pal.-396
17903,Pan.-4
17904,Pan.-8
17905,Ran 15
17906,IT-12
17907,NCA-65
17908,BAL-41
17909,BAL-43
17910,Pa-39
17911,BAL-17
17912,IM 41
17913,RH 78
17914,BVO-96
17915,Bd-11
17916,Bu 1941
17917,Bu 1201
17918,CP-6049
17919,Sic-87
17920,Cd.A. 1018
17921,CTG-2
17922,D.C.-1024
17923,Du-1156
17924,Du-1157
17925,Du-1158
17926,GSC-1626
17927,GSC-700
17928,PUL-23
17929,Gtl-228
17930,OPL-44
17931,AK-369
17932,AK-387
17933,AK-394
17934,Du-1111
17935,DGC 24
17936,DGC 6
17937,O-124
17938,SUT-38
17939,O-48
17940,O-6
17941,BRA-16
17942,BRA-104
17943,BRA-407
17944,BRA-409
17945,BRA-416
17946,BRA-51
17947,BRA-90
17948,SDD-149
17949,BRA-92
17950,Ely-1086
17951,GO 9543
17952,Por-1
17953,TPZ-1
17954,GE-23
17955,SDD-214
17956,IM 50
17957,KP 34
17958,RTO-2
17959,ALD-2
17960,BRA-1054
17961,Alo. 210
17962,GO 9530
17963,NRY 14
17964,ALD-21
17965,ALD-30
17966,IM 67
17967,Su-230
17968,ALD-6
17969,BAL-2
17970,Ryn.-1041
17971,Ryn.-1052
17972,Alo. 208
17973,PCN-43
17974,Alo. 223
17975,10722.conflict2
17976,SDD-15
17977,Aj 1056
17978,Aj 1058
17979,ROC3074
17980,SL 14b
17981,PCN-8
17982,SDD-9X
17983,Tas-28
17984,Su-195
17985,IM 43
17986,Alo. 241
17987,Bgd 10
17988,BAL-103
17989,BAL-110
17990,BAL-114
17991,GSC-2702
17992,ROC15068
17993,ROC15075
17994,GSC-868
17995,GSC-2249
17996,GSC-952
17997,GSC-1696
17998,GSC-2762
17999,GSC-404
18000,RH 116
18001,ROC10015
18002,ROC4774
18003,F29
18004,ROC203
18005,ROC3012
18006,ROC1297
18007,ROC1537
18008,ROC299
18009,ROC1179
18010,1186.conflict2
18011,15024x
18012,SP 3b
18013,ROC17391
18014,ROC21425
18015,ROC17399
18016,ROC17412
18017,ROC433
18018,ROC16495
18019,unspecified.conflict69
18020,ROC22005
18021,ROC10189
18022,GSC-453
18023,GSC-53
18024,GSC-42
18025,PC 12.conflict2
18026,ROC294
18027,11451.conflict2
18028,sedimx-37
18029,SED- 2275
18030,GSC-1844
18031,GSC-184
18032,GSC-1640
18033,GSC-2242
18034,GSC-871
18035,SED- 169
18036,SED- 328
18037,SED- 1298
18038,ROC5050
18039,GSC-578
18040,GSC-1927
18041,GSC-2359
18042,Wards- 74
18043,GSC-2487
18044,ROC66897
18045,GSC-528
18046,GSC-392
18047,GSC-2303
18048,GSC-1876
18049,GSC-761
18050,GSC-594
18051,GSC-794
18052,GSC-2266
18053,GSC-605
18054,GSC-662
18055,JON 2c
18056,GSC-165
18057,GSC-78
18058,GSC-168
18059,SH L-6m
18060,ROC10852
18061,SP 19
18062,SED- 11
18063,SED- 22
18064,SL 7
18065,SED- 54
18066,SED- 88
18067,C.d.A. 1226
18068,SED- 628
18069,SED- 660
18070,SED- 669
18071,NZL-40
18072,RH 124
18073,RH 61
18074,RH 76
18075,ROC11404
18076,ROC11408
18077,ROC11416
18078,ROC11558
18079,SED- 681
18080,NZL-42
18081,SED- 685
18082,SED- 690
18083,SED- 692
18084,GSC-2532
18085,GSC-1785
18086,unspecified.conflict115
18087,ROC10005
18088,ROC10011
18089,GSC-1716
18090,GSC-2610
18091,ROC10271
18092,ROC10354
18093,ROC10389
18094,ROC10497
18095,ROC10499
18096,ROC10529
18097,ROC10633
18098,C.d.A. 1069B
18099,C.d.A. 1313
18100,C.d.A. 1234
18101,C.d.A. 1243
